location,Year,Month,Value Column Name,Value,Last Updated,Source,ir_comments
"Spain","2020","November","% death","0.01987204573316411","","Visual Measure",""
"Spain","2020","December","new_cases","280078","","Native",""
"Spain","2020","December","new_deaths","5768","","Native",""
"Spain","2020","December","% death","0.020594263026728267","","Visual Measure",""
"Spain","2021","January","new_cases","814854","","Native",""
"Spain","2021","January","new_deaths","7482","","Native",""
"Spain","2021","January","% death","0.009182012974103336","","Visual Measure",""
"Spain","2021","February","new_cases","445434","","Native",""
"Spain","2021","February","new_deaths","10823","","Native",""
"Spain","2021","February","% death","0.024297651279426357","","Visual Measure",""
"Spain","2021","March","new_cases","95800","","Native",""
"Spain","2021","March","new_deaths","6317","","Native",""
"Spain","2021","March","% death","0.06593945720250521","","Visual Measure",""
"Spain","2021","April","new_cases","161719","","Native",""
"Spain","2021","April","new_deaths","1905","","Native",""
"Spain","2021","April","% death","0.011779691934775753","","Visual Measure",""
"Germany","2020","January","new_cases","5","","Native",""
"Germany","2020","January","new_deaths",,"","Native",""
"Germany","2020","January","% death","0","","Visual Measure",""
"Germany","2020","February","new_cases","74","","Native",""
"Germany","2020","February","new_deaths",,"","Native",""
"Germany","2020","February","% death","0","","Visual Measure",""
"Germany","2020","March","new_cases","71729","","Native",""
"Germany","2020","March","new_deaths","775","","Native",""
"Germany","2020","March","% death","0.010804556037307086","","Visual Measure",""
"Germany","2020","April","new_cases","91201","","Native",""
"Germany","2020","April","new_deaths","5848","","Native",""
"Germany","2020","April","% death","0.06412210392429908","","Visual Measure",""
"Germany","2020","May","new_cases","20401","","Native",""
"Germany","2020","May","new_deaths","1917","","Native",""
"Germany","2020","May","% death","0.09396598205970295","","Visual Measure",""
"Germany","2020","June","new_cases","12008","","Native",""
"Germany","2020","June","new_deaths","450","","Native",""
"Germany","2020","June","% death","0.03747501665556296","","Visual Measure",""
"Germany","2020","July","new_cases","14981","","Native",""
"Germany","2020","July","new_deaths","157","","Native",""
"Germany","2020","July","% death","0.010479941258927976","","Visual Measure",""
"Germany","2020","August","new_cases","34403","","Native",""
"Germany","2020","August","new_deaths","156","","Native",""
"Germany","2020","August","% death","0.004534488271371683","","Visual Measure",""
"Germany","2020","September","new_cases","48111","","Native",""
"Germany","2020","September","new_deaths","192","","Native",""
"Germany","2020","September","% death","0.003990771341273305","","Visual Measure",""
"Germany","2020","October","new_cases","238877","","Native",""
"Germany","2020","October","new_deaths","988","","Native",""
"Germany","2020","October","% death","0.004136019792612935","","Visual Measure",""
"Germany","2020","November","new_cases","538122","","Native",""
"Germany","2020","November","new_deaths","6211","","Native",""
"Germany","2020","November","% death","0.011541992336310354","","Visual Measure",""
"Germany","2020","December","new_cases","690608","","Native",""
"Germany","2020","December","new_deaths","17097","","Native",""
"Germany","2020","December","% death","0.024756446493524546","","Visual Measure",""
"Germany","2021","January","new_cases","465139","","Native",""
"Germany","2021","January","new_deaths","23372","","Native",""
"Germany","2021","January","% death","0.05024734541717637","","Visual Measure",""
"Germany","2021","February","new_cases","224636","","Native",""
"Germany","2021","February","new_deaths","12989","","Native",""
"Germany","2021","February","% death","0.05782243273562564","","Visual Measure",""
"Germany","2021","March","new_cases","393349","","Native",""
"Germany","2021","March","new_deaths","6437","","Native",""
"Germany","2021","March","% death","0.01636460242685249","","Visual Measure",""
"Germany","2021","April","new_cases","379244","","Native",""
"Germany","2021","April","new_deaths","4349","","Native",""
"Germany","2021","April","% death","0.011467551233506661","","Visual Measure",""
"Argentina","2020","January","new_cases",,"","Native",""
"Argentina","2020","January","new_deaths",,"","Native",""
"Argentina","2020","January","% death","","","Visual Measure",""
"Argentina","2020","February","new_cases",,"","Native",""
"Argentina","2020","February","new_deaths",,"","Native",""
"Argentina","2020","February","% death","","","Visual Measure",""
"Argentina","2020","March","new_cases","1054","","Native",""
"Argentina","2020","March","new_deaths","27","","Native",""
"Argentina","2020","March","% death","0.025616698292220113","","Visual Measure",""
"Argentina","2020","April","new_cases","3374","","Native",""
"Argentina","2020","April","new_deaths","191","","Native",""
"Argentina","2020","April","% death","0.056609365737996444","","Visual Measure",""
"Argentina","2020","May","new_cases","12423","","Native",""
"Argentina","2020","May","new_deaths","321","","Native",""
"Argentina","2020","May","% death","0.025839169282781935","","Visual Measure",""
"Argentina","2020","June","new_cases","47679","","Native",""
"Argentina","2020","June","new_deaths","768","","Native",""
"Argentina","2020","June","% death","0.01610772038004153","","Visual Measure",""
"Argentina","2020","July","new_cases","126772","","Native",""
"Argentina","2020","July","new_deaths","2236","","Native",""
"Argentina","2020","July","% death","0.01763796421922822","","Visual Measure",""
"Argentina","2020","August","new_cases","226433","","Native",""
"Argentina","2020","August","new_deaths","5117","","Native",""
"Argentina","2020","August","% death","0.02259829618474339","","Visual Measure",""
"Argentina","2020","September","new_cases","333266","","Native",""
"Argentina","2020","September","new_deaths","8277","","Native",""
"Argentina","2020","September","% death","0.02483601687540883","","Visual Measure",""
"Argentina","2020","October","new_cases","415923","","Native",""
"Argentina","2020","October","new_deaths","14065","","Native",""
"Argentina","2020","October","% death","0.03381635543117356","","Visual Measure",""
"Argentina","2020","November","new_cases","257609","","Native",""
"Argentina","2020","November","new_deaths","7728","","Native",""
"Argentina","2020","November","% death","0.02999895189997244","","Visual Measure",""
"Argentina","2020","December","new_cases","200981","","Native",""
"Argentina","2020","December","new_deaths","4515","","Native",""
"Argentina","2020","December","% death","0.022464810106427972","","Visual Measure",""
